sku,name,customer_review_average,customer_review_count,regular_price,category_path,url
6615160,Fujifilm - INSTAX WIDE EVO Hybrid Instant Film Camera - Black,4.2,18,349.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, Point & Shoot Cameras, Instant Print Cameras",https://api.bestbuy.com/click/-/6615160/pdp
6618143,Fujifilm - 135 Fujicolor 400 Color Negative Film - Multi,5.0,1,10.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, Point & Shoot Cameras, Instant Print Cameras",https://api.bestbuy.com/click/-/6618143/pdp
6619101,Nikon COOLPIX P1100 - Black,4.7,3,1099.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, Point & Shoot Cameras",https://api.bestbuy.com/click/-/6619101/pdp
6621415,Panasonic - Lumix S1RII - Black,5.0,2,3299.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, Mirrorless Cameras",https://api.bestbuy.com/click/-/6621415/pdp
6621550,Fujifilm - instax mini 41 Instant Film Camera - Black,3.7,3,129.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, Point & Shoot Cameras, Instant Print Cameras",https://api.bestbuy.com/click/-/6621550/pdp
6622609,Nikon - Z5II Mirrorless Camera Body - Black,4.8,9,1699.95,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, Mirrorless Cameras",https://api.bestbuy.com/click/-/6622609/pdp
6622612,Nikon - Z5II Mirrorless Camera Body w/ NIKKOR Z 24-200mm - Black,5.0,1,2499.95,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, Mirrorless Cameras",https://api.bestbuy.com/click/-/6622612/pdp
6624075,Canon - EOS R50 V 4K Video Mirrorless Camera with RF-S14-30mm F4-6.3 IS STM PZ Lens - Black,5.0,1,849.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, Mirrorless Cameras",https://api.bestbuy.com/click/-/6624075/pdp
6625608,Canon - PowerShot V1 4K Video 24.2-Megapixel Digital Camera - Black,3.8,11,979.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, Point & Shoot Cameras",https://api.bestbuy.com/click/-/6625608/pdp
6628916,Fujifilm - X-M5 Body with XC15-45mmF3.5-5.6 OIS PZ Lens Kit - Black,4.8,39,899.95,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, Mirrorless Cameras",https://api.bestbuy.com/click/-/6628916/pdp
6632739,Sony FX3 Cinema Line Full-frame Camera - Black,5.0,1,3899.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, Mirrorless Cameras",https://api.bestbuy.com/click/-/6632739/pdp
7588027,Panasonic - LUMIX G7 Mirrorless 4K Photo Digital Camera Body with 14-42mm f3.5-5.6 II Lens - DMC-G7KK - Black,4.7,489,699.99,"Best Buy, Cameras, Camcorders & Drones, Digital Cameras, Mirrorless Cameras",https://api.bestbuy.com/click/-/7588027/pdp
6202105,"Samsung - 32"" Class M4500 Series LED HD Smart Tizen TV (2018)",4.6,5114,199.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6202105/pdp
6202106,"Samsung - 32"" Class N5300 Series LED Full HD Smart Tizen TV (2018)",4.6,9685,229.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6202106/pdp
6296602,"SunBriteTV - Veranda Series 43"" Class LED Outdoor Full Shade 4K UHD TV (2018)",4.2,73,1658.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6296602/pdp
6297105,"SunBriteTV - Veranda Series 55"" Class LED Outdoor Full Shade 4K UHD TV (2018)",4.3,161,1768.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6297105/pdp
6356874,"SunBriteTV - Signature 2 Series 65"" Class LED Outdoor Partial Sun 4K UHD TV (2019)",5.0,2,8658.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6356874/pdp
6360291,"Samsung - 40"" Class 5 Series LED Full HD Smart Tizen TV (2019)",4.7,10795,249.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6360291/pdp
6405702,"Samsung - 65"" CLASS BE65T-H LED 4K Commercial Grade TV",4.2,6,713.0,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6405702/pdp
6407930,"Samsung - 75"" Class The Terrace Series LED Outdoor Partial Sun 4K UHD Smart Tizen TV (2020)",4.7,36,6499.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6407930/pdp
6407933,"Samsung - 65"" Class The Terrace Series LED Outdoor Partial Sun 4K UHD Smart Tizen TV (2020)",4.7,91,4999.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6407933/pdp
6416867,SunBriteTV - Pro 2 Series 55 inch 4K UHD Outdoor TV Full Sun (2022),5.0,2,6728.95,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6416867/pdp
6417390,"Samsung - 75"" CLASS BH75T Terrace Edition LED Outdoor Partial Sun 4k Commercial Grade TV",5.0,1,6499.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6417390/pdp
6420351,"Samsung - 55"" Class The Terrace Series QLED Outdoor Partial Sun 4K UHD Smart Tizen TV (2018)",4.7,213,2999.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6420351/pdp
6462044,"Samsung - 75"" Class The Terrace Series QLED Outdoor Full Sun 4K UHD Smart Tizen TV (2021)",4.0,4,9999.99,"Best Buy, TV & Home Theater, TVs, All Flat-Screen TVs",https://api.bestbuy.com/click/-/6462044/pdp
